ProductBenefitRecommendedSIID,ProductCode,BenefitCode,Age,RecommendedSI,dtmCreated,CreatedBy,dtmUpdated,UpdatedBy,dtmValidFrom,dtmValidTo
148,GSA,ACI,41,400000,50:23.5,System02,45:45.5,System02,00:00.0,44:45.5
149,GSA,ACI,42,400000,50:23.5,System02,45:45.6,System02,00:00.0,44:45.6
150,GSA,ACI,43,400000,50:23.5,System02,45:45.6,System02,00:00.0,44:45.6
151,GSA,ACI,44,400000,50:23.5,System02,45:45.6,System02,00:00.0,44:45.6
152,GSA,ACI,45,400000,50:23.5,System02,45:45.6,System02,00:00.0,44:45.6
153,GSA,ACI,46,400000,50:23.5,System02,45:45.6,System02,00:00.0,44:45.6
154,GSA,ACI,47,400000,50:23.5,System02,45:45.7,System02,00:00.0,44:45.7
155,GSA,ACI,48,400000,50:23.5,System02,45:45.7,System02,00:00.0,44:45.7
156,GSA,ACI,49,400000,50:23.5,System02,45:45.7,System02,00:00.0,44:45.7
157,GSA,ACI,50,400000,50:23.5,System02,45:45.7,System02,00:00.0,44:45.7
158,GSA,ACI,51,350000,50:23.5,System02,45:45.7,System02,00:00.0,44:45.7
159,GSA,ACI,52,350000,50:23.5,System02,45:45.7,System02,00:00.0,44:45.7
160,GSA,ACI,53,350000,50:23.5,System02,45:45.8,System02,00:00.0,44:45.8
161,GSA,ACI,54,350000,50:23.5,System02,45:45.8,System02,00:00.0,44:45.8
162,GSA,ACI,55,350000,50:23.5,System02,45:45.8,System02,00:00.0,44:45.8
163,GSA,ACI,56,350000,50:23.5,System02,45:45.8,System02,00:00.0,44:45.8
164,GSA,ACI,57,350000,50:23.5,System02,45:45.9,System02,00:00.0,44:45.9
165,GSA,ACI,58,350000,50:23.5,System02,45:45.9,System02,00:00.0,44:45.9
166,GSA,ACI,59,350000,50:23.5,System02,45:45.9,System02,00:00.0,44:45.9
167,GSA,ACI,60,350000,50:23.5,System02,45:45.9,System02,00:00.0,44:45.9
168,GSA,ACI,61,350000,50:23.5,System02,45:45.9,System02,00:00.0,44:45.9
169,GSA,ACI,62,350000,50:23.5,System02,45:46.0,System02,00:00.0,44:46.0
170,GSA,ACI,63,350000,50:23.5,System02,45:46.0,System02,00:00.0,44:46.0
171,GSA,ACI,64,350000,50:23.5,System02,45:46.0,System02,00:00.0,44:46.0
172,GSA,ACI,65,350000,50:23.5,System02,45:46.0,System02,00:00.0,44:46.0
173,GSA,ACI,66,250000,50:23.5,System02,45:46.0,System02,00:00.0,44:46.0
174,GSA,ACI,67,250000,50:23.5,System02,45:46.1,System02,00:00.0,44:46.1
175,GSA,ACI,68,250000,50:23.5,System02,45:46.1,System02,00:00.0,44:46.1
176,GSA,ACI,69,250000,50:23.5,System02,45:46.1,System02,00:00.0,44:46.1
177,GSL,DTH,18,500000,50:23.5,System02,45:46.1,System02,00:00.0,44:46.1
178,GSL,DTH,19,500000,50:23.5,System02,45:46.1,System02,00:00.0,44:46.1
179,GSL,DTH,20,500000,50:23.5,System02,45:46.2,System02,00:00.0,44:46.2
180,GSL,DTH,21,500000,50:23.5,System02,45:46.2,System02,00:00.0,44:46.2
181,GSL,DTH,22,500000,50:23.5,System02,45:46.2,System02,00:00.0,44:46.2
182,GSL,DTH,23,500000,50:23.5,System02,45:46.2,System02,00:00.0,44:46.2
183,GSL,DTH,24,500000,50:23.5,System02,45:46.2,System02,00:00.0,44:46.2
184,GSL,DTH,25,500000,50:23.5,System02,45:46.3,System02,00:00.0,44:46.3
185,GSL,DTH,26,500000,50:23.5,System02,45:46.3,System02,00:00.0,44:46.3
186,GSL,DTH,27,500000,50:23.5,System02,45:46.3,System02,00:00.0,44:46.3
187,GSL,DTH,28,500000,50:23.5,System02,45:46.3,System02,00:00.0,44:46.3
188,GSL,DTH,29,500000,50:23.5,System02,45:46.3,System02,00:00.0,44:46.3
189,GSL,DTH,30,500000,50:23.5,System02,45:46.3,System02,00:00.0,44:46.3
190,GSL,DTH,31,500000,50:23.5,System02,45:46.4,System02,00:00.0,44:46.4
191,GSL,DTH,32,500000,50:23.5,System02,45:46.4,System02,00:00.0,44:46.4
192,GSL,DTH,33,500000,50:23.5,System02,45:46.4,System02,00:00.0,44:46.4
193,GSL,DTH,34,500000,50:23.5,System02,45:46.4,System02,00:00.0,44:46.4
194,GSL,DTH,35,500000,50:23.5,System02,45:46.4,System02,00:00.0,44:46.4
195,GSL,DTH,36,500000,50:23.5,System02,45:46.5,System02,00:00.0,44:46.5
196,GSL,DTH,37,500000,50:23.5,System02,45:46.5,System02,00:00.0,44:46.5
197,GSL,DTH,38,500000,50:23.5,System02,45:46.5,System02,00:00.0,44:46.5
198,GSL,DTH,39,500000,50:23.5,System02,45:46.5,System02,00:00.0,44:46.5
199,GSL,DTH,40,500000,50:23.5,System02,45:46.5,System02,00:00.0,44:46.5
200,GSL,DTH,41,400000,50:23.5,System02,45:46.6,System02,00:00.0,44:46.6
201,GSL,DTH,42,400000,50:23.5,System02,45:46.6,System02,00:00.0,44:46.6
202,GSL,DTH,43,400000,50:23.5,System02,45:46.6,System02,00:00.0,44:46.6
203,GSL,DTH,44,400000,50:23.5,System02,45:46.6,System02,00:00.0,44:46.6
204,GSL,DTH,45,400000,50:23.5,System02,45:46.6,System02,00:00.0,44:46.6
205,GSL,DTH,46,350000,50:23.5,System02,45:46.7,System02,00:00.0,44:46.7
206,GSL,DTH,47,350000,50:23.5,System02,45:46.7,System02,00:00.0,44:46.7
207,GSL,DTH,48,350000,50:23.5,System02,45:46.7,System02,00:00.0,44:46.7
208,GSL,DTH,49,350000,50:23.5,System02,45:46.7,System02,00:00.0,44:46.7
209,GSL,DTH,50,350000,50:23.5,System02,45:46.7,System02,00:00.0,44:46.7
210,GSL,DTH,51,300000,50:23.5,System02,45:46.8,System02,00:00.0,44:46.8
211,GSL,DTH,52,300000,50:23.5,System02,45:46.8,System02,00:00.0,44:46.8
212,GSL,DTH,53,300000,50:23.5,System02,45:46.8,System02,00:00.0,44:46.8
213,GSL,DTH,54,300000,50:23.5,System02,45:46.8,System02,00:00.0,44:46.8
214,GSL,DTH,55,300000,50:23.5,System02,45:46.8,System02,00:00.0,44:46.8
215,GSL,DTH,56,200000,50:23.5,System02,45:46.9,System02,00:00.0,44:46.9
216,GSL,DTH,57,200000,50:23.5,System02,45:46.9,System02,00:00.0,44:46.9
217,GSL,DTH,58,200000,50:23.5,System02,45:46.9,System02,00:00.0,44:46.9
218,GSL,DTH,59,200000,50:23.5,System02,45:46.9,System02,00:00.0,44:46.9
219,GSL,DTH,60,200000,50:23.5,System02,45:46.9,System02,00:00.0,44:46.9
220,GSL,DTH,61,200000,50:23.5,System02,45:47.0,System02,00:00.0,44:47.0
221,GSL,DTH,62,200000,50:23.5,System02,45:47.0,System02,00:00.0,44:47.0
222,GSL,DTH,63,200000,50:23.5,System02,45:47.0,System02,00:00.0,44:47.0
223,GSL,DTH,64,200000,50:23.5,System02,45:47.0,System02,00:00.0,44:47.0
224,HAD,ACI,18,400000,50:23.5,System02,45:47.1,System02,00:00.0,44:47.1
225,HAD,ACI,19,400000,50:23.5,System02,45:47.1,System02,00:00.0,44:47.1
226,HAD,ACI,20,400000,50:23.5,System02,45:47.1,System02,00:00.0,44:47.1
227,HAD,ACI,21,400000,50:23.5,System02,45:47.2,System02,00:00.0,44:47.2
228,HAD,ACI,22,400000,50:23.5,System02,45:47.2,System02,00:00.0,44:47.2
229,HAD,ACI,23,400000,50:23.5,System02,45:47.2,System02,00:00.0,44:47.2
230,HAD,ACI,24,400000,50:23.5,System02,45:47.3,System02,00:00.0,44:47.3
231,HAD,ACI,25,400000,50:23.5,System02,45:47.3,System02,00:00.0,44:47.3
232,HAD,ACI,26,400000,50:23.5,System02,45:47.3,System02,00:00.0,44:47.3
233,HAD,ACI,27,400000,50:23.5,System02,45:47.3,System02,00:00.0,44:47.3
234,HAD,ACI,28,400000,50:23.5,System02,45:47.4,System02,00:00.0,44:47.4
235,HAD,ACI,29,400000,50:23.5,System02,45:47.4,System02,00:00.0,44:47.4
236,HAD,ACI,30,400000,50:23.5,System02,45:47.4,System02,00:00.0,44:47.4
237,HAD,ACI,31,400000,50:23.5,System02,45:47.4,System02,00:00.0,44:47.4
238,HAD,ACI,32,400000,50:23.5,System02,45:47.5,System02,00:00.0,44:47.5
239,HAD,ACI,33,400000,50:23.5,System02,45:47.5,System02,00:00.0,44:47.5
240,HAD,ACI,34,400000,50:23.5,System02,45:47.5,System02,00:00.0,44:47.5
241,HAD,ACI,35,400000,50:23.5,System02,45:47.5,System02,00:00.0,44:47.5
242,HAD,ACI,36,400000,50:23.5,System02,45:47.6,System02,00:00.0,44:47.6
243,HAD,ACI,37,400000,50:23.5,System02,45:47.6,System02,00:00.0,44:47.6
244,HAD,ACI,38,400000,50:23.5,System02,45:47.6,System02,00:00.0,44:47.6
245,HAD,ACI,39,400000,50:23.5,System02,45:47.6,System02,00:00.0,44:47.6
246,HAD,ACI,40,400000,50:23.5,System02,45:47.6,System02,00:00.0,44:47.6
247,HAD,ACI,41,400000,50:23.5,System02,45:47.7,System02,00:00.0,44:47.7
248,HAD,ACI,42,400000,50:23.5,System02,45:47.7,System02,00:00.0,44:47.7
249,HAD,ACI,43,400000,50:23.6,System02,45:47.7,System02,00:00.0,44:47.7
250,HAD,ACI,44,400000,50:23.6,System02,45:47.7,System02,00:00.0,44:47.7
251,HAD,ACI,45,400000,50:23.6,System02,45:47.7,System02,00:00.0,44:47.7
252,HAD,ACI,46,400000,50:23.6,System02,45:47.8,System02,00:00.0,44:47.8
253,HAD,ACI,47,400000,50:23.6,System02,45:47.8,System02,00:00.0,44:47.8
254,HAD,ACI,48,400000,50:23.6,System02,45:47.8,System02,00:00.0,44:47.8
255,HAD,ACI,49,400000,50:23.6,System02,45:47.8,System02,00:00.0,44:47.8
256,HAD,ACI,50,400000,50:23.6,System02,45:47.9,System02,00:00.0,44:47.9
257,HAD,ACI,51,350000,50:23.6,System02,45:47.9,System02,00:00.0,44:47.9
258,HAD,ACI,52,350000,50:23.6,System02,45:47.9,System02,00:00.0,44:47.9
259,HAD,ACI,53,350000,50:23.6,System02,45:48.0,System02,00:00.0,44:48.0
260,HAD,ACI,54,350000,50:23.6,System02,45:48.0,System02,00:00.0,44:48.0
261,HAD,ACI,55,350000,50:23.6,System02,45:48.1,System02,00:00.0,44:48.1
262,HAD,ACI,56,350000,50:23.6,System02,45:48.1,System02,00:00.0,44:48.1
263,HAD,ACI,57,350000,50:23.6,System02,45:48.1,System02,00:00.0,44:48.1
264,HAD,ACI,58,350000,50:23.6,System02,45:48.2,System02,00:00.0,44:48.2
265,HAD,ACI,59,350000,50:23.6,System02,45:48.2,System02,00:00.0,44:48.2
266,HAD,ACI,60,350000,50:23.6,System02,45:48.3,System02,00:00.0,44:48.3
267,HAD,ACI,61,350000,50:23.6,System02,45:48.3,System02,00:00.0,44:48.3
268,HAD,ACI,62,350000,50:23.6,System02,45:48.4,System02,00:00.0,44:48.4
269,HAD,ACI,63,350000,50:23.6,System02,45:48.4,System02,00:00.0,44:48.4
270,HAD,ACI,64,350000,50:23.6,System02,45:48.5,System02,00:00.0,44:48.5
271,HAD,ACI,65,350000,50:23.6,System02,45:48.5,System02,00:00.0,44:48.5
272,HAD,ACI,66,250000,50:23.6,System02,45:48.5,System02,00:00.0,44:48.5
273,HAD,ACI,67,250000,50:23.6,System02,45:48.5,System02,00:00.0,44:48.5
274,HAD,ACI,68,250000,50:23.6,System02,45:48.6,System02,00:00.0,44:48.5
275,HAD,ACI,69,250000,50:23.6,System02,45:48.6,System02,00:00.0,44:48.6
276,HAF,DTH,18,15000,50:23.6,System02,45:48.6,System02,00:00.0,44:48.6
277,HAF,DTH,19,15000,50:23.6,System02,45:48.6,System02,00:00.0,44:48.6
278,HAF,DTH,20,15000,50:23.6,System02,45:48.6,System02,00:00.0,44:48.6
279,HAF,DTH,21,15000,50:23.6,System02,45:48.6,System02,00:00.0,44:48.6
280,HAF,DTH,22,15000,50:23.6,System02,45:48.7,System02,00:00.0,44:48.7
281,HAF,DTH,23,15000,50:23.6,System02,45:48.7,System02,00:00.0,44:48.7
282,HAF,DTH,24,15000,50:23.6,System02,45:48.7,System02,00:00.0,44:48.7
283,HAF,DTH,25,15000,50:23.6,System02,45:48.7,System02,00:00.0,44:48.7
